Id,Name,English_Name,Type,Source,Episodes,Airing,Aired_From,Aired_To,Duration,Rating,Score,Scored_By,Rank,Popularity,Members,Favorites,Season,Year,Broadcast_Day,Broadcast_Time,Producers,Licensors,Studios,Genres,Themes
3009,Tiger Mask,Tiger Mask,TV,Manga,105,False,1969-10-02 00:00:00+00:00,1971-09-30 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.28,4505,2863.0,6263,11375,71,fall,1969,,,,,Toei Animation,"Drama, Sports",Combat Sports
845,Kiba,Kiba,TV,Original,51,False,2006-04-02 00:00:00+00:00,2007-03-25 00:00:00+00:00,24,PG-13 - Teens 13 or older,7.28,33781,2903.0,2491,80072,448,spring,2006,Sundays,08:30,"Aniplex, Ashi Productions, Sony Music Entertainment","ADV Films, Sentai Filmworks",Madhouse,"Action, Adventure, Fantasy",Isekai
2929,Moonlight Mile 2nd Season: Touch Down,Moonlight Mile 2nd Season: Touch Down,TV,Manga,14,False,2007-09-13 00:00:00+00:00,2007-12-13 00:00:00+00:00,25,R+ - Mild Nudity,7.28,1833,2914.0,8584,5284,10,fall,2007,,,,,Studio Hibari,"Adventure, Drama, Sci-Fi",Space
37937,Wan Jie Xian Zong,Wan Jie Xian Zong,ONA,Web manga,40,False,2018-03-21 00:00:00+00:00,2018-07-28 00:00:00+00:00,7,PG-13 - Teens 13 or older,7.28,1965,2868.0,8740,5054,34,spring,2018,,,bilibili,,Ruo Hong Culture,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts, Mythology"
2675,Doraemon Movie 17: Nobita to Ginga Express,Doraemon the Movie: Nobita and the Galaxy Super-express,Movie,Unknown,1,False,1996-03-02 00:00:00+00:00,,97,PG - Children,7.28,5785,2885.0,6829,9303,8,spring,1996,,,,,Shin-Ei Animation,Fantasy,
45486,Kuma Kuma Kuma Bear Punch!,Kuma Kuma Kuma Bear Punch!,TV,Light novel,12,False,2023-04-03 00:00:00+00:00,2023-06-19 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.28,31703,2904.0,2413,83909,430,spring,2023,Mondays,22:00,"Nippon Animation, AT-X, Nippon Columbia, Tokyo MX, Good Smile Company, Kanon Sound, NichiNare, Kadokawa, Shufu to Seikatsusha, Hike",Crunchyroll,EMT Squared,"Adventure, Comedy, Fantasy",Isekai
653,Galaxy Angel 3,Galaxy Angel A,TV,Original,26,False,2002-10-06 00:00:00+00:00,2003-03-31 00:00:00+00:00,24,PG - Children,7.28,4694,2888.0,6492,10451,19,fall,2002,Sundays,09:30,"Bandai Visual, TV Osaka, Broccoli, Yomiko Advertising","Nozomi Entertainment, Bandai Entertainment",Madhouse,"Comedy, Sci-Fi",
49438,Isekai Yakkyoku,Parallel World Pharmacy,TV,Light novel,12,False,2022-07-10 00:00:00+00:00,2022-09-25 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.28,116603,2897.0,1087,233447,893,summer,2022,Sundays,21:30,"Frontier Works, Pony Canyon, AT-X, Kansai Telecasting, BS NTV, Kadokawa, Bit grooove promotion",,Diomedéa,Fantasy,"Isekai, Medical, Reincarnation"
14669,Aura: Maryuuin Kouga Saigo no Tatakai,Aura: Koga Maryuin's Last War,Movie,Light novel,1,False,2013-04-13 00:00:00+00:00,,83,R+ - Mild Nudity,7.28,43665,2878.0,1902,120241,601,spring,2013,,,"AIC, Sotsu, Lantis, Pony Canyon, Movic, Delfi Sound, Marvelous AQL",Sentai Filmworks,AIC ASTA,"Drama, Romance",School
28869,Kaitou Joker 2nd Season,JOKER 2nd Season,TV,Manga,13,False,2015-04-06 00:00:00+00:00,2015-06-29 00:00:00+00:00,24,PG - Children,7.28,3360,2899.0,7661,6964,18,spring,2015,Mondays,19:00,Asatsu DK,,Shin-Ei Animation,"Adventure, Comedy, Mystery",
49520,Aharen-san wa Hakarenai,Aharen-san wa Hakarenai,TV,Manga,12,False,2022-04-02 00:00:00+00:00,2022-06-18 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.28,149388,2873.0,708,349974,2270,spring,2022,Saturdays,02:25,bilibili,Crunchyroll,Felix Film,"Comedy, Romance",School
13333,Tari Tari,Tari Tari,TV,Original,13,False,2012-07-01 00:00:00+00:00,2012-09-23 00:00:00+00:00,24,PG-13 - Teens 13 or older,7.28,58767,2862.0,1503,163251,532,summer,2012,Sundays,22:30,"Bandai Visual, Dentsu, Sotsu, Lantis, Pony Canyon, Showgate, Good Smile Company, Infinite",Sentai Filmworks,P.A. Works,Slice of Life,"Music, School"
